i,qyro_count,accel_count,mag_count,baro_count,gps_count,sonar_count
195,0,1,0,0,0,0
390,0,2,0,0,0,0
500,1,2,0,0,0,0
585,1,3,0,0,0,0
780,1,4,0,0,0,0
975,1,5,0,0,0,0
1000,2,5,1,0,0,0
1170,2,6,1,0,0,0
1365,2,7,1,0,0,0
1500,3,7,1,0,0,0
1560,3,8,1,0,0,0
1755,3,9,1,0,0,0
1950,3,10,1,0,0,0
2000,4,10,2,1,0,0
2145,4,11,2,1,0,0
2340,4,12,2,1,0,0
2500,5,12,2,1,0,0
2535,5,13,2,1,0,0
2730,5,14,2,1,0,0
2925,5,15,2,1,0,0
3000,6,15,3,1,0,0
3120,6,16,3,1,0,0
3315,6,17,3,1,0,0
3500,7,17,3,1,0,0
3510,7,18,3,1,0,0
3705,7,19,3,1,0,0
3900,7,20,3,1,0,0
4000,8,20,4,2,0,0
4095,8,21,4,2,0,0
4290,8,22,4,2,0,0
4485,8,23,4,2,0,0
4500,9,23,4,2,0,0
4680,9,24,4,2,0,0
4875,9,25,4,2,0,0
5000,10,25,5,2,0,0
5070,10,26,5,2,0,0
5265,10,27,5,2,0,0
5460,10,28,5,2,0,0
5500,11,28,5,2,0,0
5655,11,29,5,2,0,0
5850,11,30,5,2,0,0
6000,12,30,6,3,0,0
6045,12,31,6,3,0,0
6240,12,32,6,3,0,0
6435,12,33,6,3,0,0
6500,13,33,6,3,0,0
6630,13,34,6,3,0,0
6825,13,35,6,3,0,0
7000,14,35,7,3,0,0
7020,14,36,7,3,0,0
7215,14,37,7,3,0,0
7410,14,38,7,3,0,0
7500,15,38,7,3,0,0
7605,15,39,7,3,0,0
7800,15,40,7,3,0,0
7995,15,41,7,3,0,0
8000,16,41,8,4,0,0
8190,16,42,8,4,0,0
8385,16,43,8,4,0,0
8500,17,43,8,4,0,0
8580,17,44,8,4,0,0
8775,17,45,8,4,0,0
8970,17,46,8,4,0,0
9000,18,46,9,4,0,0
9165,18,47,9,4,0,0
9360,18,48,9,4,0,0
9500,19,48,9,4,0,0
9555,19,49,9,4,0,0
9750,19,50,9,4,0,0
9945,19,51,9,4,0,0
10000,20,51,10,5,0,1
10140,20,52,10,5,0,1
10335,20,53,10,5,0,1
10500,21,53,10,5,0,1
10530,21,54,10,5,0,1
10725,21,55,10,5,0,1
10920,21,56,10,5,0,1
11000,22,56,11,5,0,1
11115,22,57,11,5,0,1
11310,22,58,11,5,0,1
11500,23,58,11,5,0,1
11505,23,59,11,5,0,1
11700,23,60,11,5,0,1
11895,23,61,11,5,0,1
12000,24,61,12,6,0,1
12090,24,62,12,6,0,1
12285,24,63,12,6,0,1
12480,24,64,12,6,0,1
12500,25,64,12,6,0,1
12675,25,65,12,6,0,1
12870,25,66,12,6,0,1
13000,26,66,13,6,0,1
13065,26,67,13,6,0,1
13260,26,68,13,6,0,1
13455,26,69,13,6,0,1
13500,27,69,13,6,0,1
13650,27,70,13,6,0,1
13845,27,71,13,6,0,1
14000,28,71,14,7,0,1
14040,28,72,14,7,0,1
14235,28,73,14,7,0,1
14430,28,74,14,7,0,1
14500,29,74,14,7,0,1
14625,29,75,14,7,0,1
14820,29,76,14,7,0,1
15000,30,76,15,7,0,1
15015,30,77,15,7,0,1
15210,30,78,15,7,0,1
15405,30,79,15,7,0,1
15500,31,79,15,7,0,1
15600,31,80,15,7,0,1
15795,31,81,15,7,0,1
15990,31,82,15,7,0,1
16000,32,82,16,8,0,1
16185,32,83,16,8,0,1
16380,32,84,16,8,0,1
16500,33,84,16,8,0,1
16575,33,85,16,8,0,1
16770,33,86,16,8,0,1
16965,33,87,16,8,0,1
17000,34,87,17,8,0,1
17160,34,88,17,8,0,1
17355,34,89,17,8,0,1
17500,35,89,17,8,0,1
17550,35,90,17,8,0,1
17745,35,91,17,8,0,1
17940,35,92,17,8,0,1
18000,36,92,18,9,0,1
18135,36,93,18,9,0,1
18330,36,94,18,9,0,1
18500,37,94,18,9,0,1
18525,37,95,18,9,0,1
18720,37,96,18,9,0,1
18915,37,97,18,9,0,1
19000,38,97,19,9,0,1
19110,38,98,19,9,0,1
19305,38,99,19,9,0,1
19500,39,100,19,9,0,1
19695,39,101,19,9,0,1
19890,39,102,19,9,0,1
20000,40,102,20,10,0,2
20085,40,103,20,10,0,2
20280,40,104,20,10,0,2
20475,40,105,20,10,0,2
20500,41,105,20,10,0,2
20670,41,106,20,10,0,2
20865,41,107,20,10,0,2
21000,42,107,21,10,0,2
21060,42,108,21,10,0,2
21255,42,109,21,10,0,2
21450,42,110,21,10,0,2
21500,43,110,21,10,0,2
21645,43,111,21,10,0,2
21840,43,112,21,10,0,2
22000,44,112,22,11,0,2
22035,44,113,22,11,0,2
22230,44,114,22,11,0,2
22425,44,115,22,11,0,2
22500,45,115,22,11,0,2
22620,45,116,22,11,0,2
22815,45,117,22,11,0,2
23000,46,117,23,11,0,2
23010,46,118,23,11,0,2
23205,46,119,23,11,0,2
23400,46,120,23,11,0,2
23500,47,120,23,11,0,2
23595,47,121,23,11,0,2
23790,47,122,23,11,0,2
23985,47,123,23,11,0,2
24000,48,123,24,12,0,2
24180,48,124,24,12,0,2
24375,48,125,24,12,0,2
24500,49,125,24,12,0,2
24570,49,126,24,12,0,2
24765,49,127,24,12,0,2
24960,49,128,24,12,0,2
25000,50,128,25,12,1,2
25155,50,129,25,12,1,2
25350,50,130,25,12,1,2
25500,51,130,25,12,1,2
25545,51,131,25,12,1,2
25740,51,132,25,12,1,2
25935,51,133,25,12,1,2
26000,52,133,26,13,1,2
26130,52,134,26,13,1,2
26325,52,135,26,13,1,2
26500,53,135,26,13,1,2
26520,53,136,26,13,1,2
26715,53,137,26,13,1,2
26910,53,138,26,13,1,2
27000,54,138,27,13,1,2
27105,54,139,27,13,1,2
27300,54,140,27,13,1,2
27495,54,141,27,13,1,2
27500,55,141,27,13,1,2
27690,55,142,27,13,1,2
27885,55,143,27,13,1,2
28000,56,143,28,14,1,2
28080,56,144,28,14,1,2
28275,56,145,28,14,1,2
28470,56,146,28,14,1,2
28500,57,146,28,14,1,2
28665,57,147,28,14,1,2
28860,57,148,28,14,1,2
29000,58,148,29,14,1,2
29055,58,149,29,14,1,2
29250,58,150,29,14,1,2
29445,58,151,29,14,1,2
29500,59,151,29,14,1,2
29640,59,152,29,14,1,2
29835,59,153,29,14,1,2
30000,60,153,30,15,1,3
30030,60,154,30,15,1,3
30225,60,155,30,15,1,3
30420,60,156,30,15,1,3
30500,61,156,30,15,1,3
30615,61,157,30,15,1,3
30810,61,158,30,15,1,3
31000,62,158,31,15,1,3
31005,62,159,31,15,1,3
31200,62,160,31,15,1,3
31395,62,161,31,15,1,3
31500,63,161,31,15,1,3
31590,63,162,31,15,1,3
31785,63,163,31,15,1,3
31980,63,164,31,15,1,3
